source_id,author,title,publication_year,source_repository,url,filename,rights_status,acquisition_status,country,publication_venue,form_label,tier,priority,notes
tier1_gutenberg_tennyson_1850,Alfred Lord Tennyson,In Memoriam A H H,1850,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=In+Memoriam+A+H+H+Tennyson,tennyson_in_memoriam_1850.txt,public_domain,manual_queue,UK,Book,lyric_sequence,1,high,Tier-1 merged master queue
tier1_gutenberg_browning_1855,Robert Browning,Men and Women,1855,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=Men+and+Women+Robert+Browning,browning_men_and_women_1855.txt,public_domain,manual_queue,UK,Book,lyric_collection,1,high,Tier-1 merged master queue
tier1_gutenberg_rossetti_1862,Christina Rossetti,Goblin Market and Other Poems,1862,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=Goblin+Market+and+Other+Poems+Christina+Rossetti,rossetti_goblin_market_1862.txt,public_domain,manual_queue,UK,Book,narrative_poem,1,high,Tier-1 merged master queue
tier1_gutenberg_swinburne_1866,Algernon Charles Swinburne,Poems and Ballads,1866,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=Poems+and+Ballads+Swinburne,swinburne_poems_and_ballads_1866.txt,public_domain,manual_queue,UK,Book,lyric_collection,1,high,Tier-1 merged master queue
tier1_gutenberg_whitman_1867,Walt Whitman,Leaves of Grass,1867,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=Leaves+of+Grass+Walt+Whitman,whitman_leaves_of_grass_1867.txt,public_domain,manual_queue,US,Book,lyric_collection,1,high,Tier-1 merged master queue
tier1_gutenberg_arnold_1869,Matthew Arnold,Poems,1869,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=Poems+Matthew+Arnold,arnold_poems_1869.txt,public_domain,manual_queue,UK,Book,lyric_collection,1,medium,Tier-1 merged master queue
tier1_gutenberg_morris_1870,William Morris,The Earthly Paradise,1870,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=The+Earthly+Paradise+William+Morris,morris_earthly_paradise_1870.txt,public_domain,manual_queue,UK,Book,long_poem,1,medium,Tier-1 merged master queue
hathitrust_arnold_1877,Matthew Arnold,Poems 1877,1877,hathitrust,https://catalog.hathitrust.org/Search/Home?lookfor=Matthew+Arnold+Poems+1877,arnold_poems_1877.txt,rights_review,manual_queue,UK,Book,lyric_collection,2,medium,Candidate for late-Victorian stabilization sample
gutenberg_hardy_1878,Thomas Hardy,Poems of Thomas Hardy,1878,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=Thomas+Hardy+poems,hardy_poems_1878.txt,public_domain,manual_queue,UK,Book,lyric_collection,1,high,Use earliest suitable dated poetic collection
tier1_gutenberg_housman_1896,A E Housman,A Shropshire Lad,1896,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=A+Shropshire+Lad+housman,housman_shropshire_lad_1896.txt,public_domain,manual_queue,UK,Book,lyric_collection,1,high,Tier-1 merged master queue
gutenberg_henley_1898,W E Henley,Poems 1898,1898,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=W+E+Henley+poems,henley_poems_1898.txt,public_domain,manual_queue,UK,Book,lyric_collection,1,medium,Supplement non-canonical late century material
tier1_gutenberg_hardy_1898,Thomas Hardy,Wessex Poems,1898,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=Wessex+Poems+Thomas+Hardy,hardy_wessex_poems_1898.txt,public_domain,manual_queue,UK,Book,lyric_collection,1,high,Tier-1 merged master queue
tier1_gutenberg_brooke_1911,Rupert Brooke,Poems,1911,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=Rupert+Brooke+Poems,brooke_poems_1911.txt,public_domain,manual_queue,UK,Book,lyric_collection,1,medium,Tier-1 merged master queue
tier1_gutenberg_hopkins_1918,Gerard Manley Hopkins,Poems of Gerard Manley Hopkins,1918,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=Poems+Gerard+Manley+Hopkins,hopkins_poems_1918.txt,public_domain,manual_queue,UK,Collected edition,lyric,1,high,Tier-1 merged master queue
tier1_gutenberg_yeats_1919,W B Yeats,The Wild Swans at Coole,1919,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=The+Wild+Swans+at+Coole+Yeats,yeats_wild_swans_1919.txt,public_domain,manual_queue,Ireland,Book,lyric_collection,1,high,Tier-1 merged master queue
tier1_gutenberg_eliot_1922,T S Eliot,The Waste Land,1922,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=The+Waste+Land+T+S+Eliot,eliot_waste_land_1922.txt,public_domain,manual_queue,UK,Book,long_poem,1,high,Tier-1 merged master queue
tier1_gutenberg_frost_1923,Robert Frost,New Hampshire,1923,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=New+Hampshire+Robert+Frost,frost_new_hampshire_1923.txt,public_domain,manual_queue,US,Book,lyric_collection,1,medium,Tier-1 merged master queue
tier1_gutenberg_millay_1923,Edna St Vincent Millay,The Harp-Weaver and Other Poems,1923,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=The+Harp-Weaver+and+Other+Poems+Millay,millay_harp_weaver_1923.txt,public_domain,manual_queue,US,Book,lyric_collection,1,medium,Tier-1 merged master queue
tier1_gutenberg_stevens_1923,Wallace Stevens,Harmonium,1923,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=Harmonium+Wallace+Stevens,stevens_harmonium_1923.txt,public_domain,manual_queue,US,Book,lyric_collection,1,medium,Tier-1 merged master queue
tier1_gutenberg_moore_1924,Marianne Moore,Observations,1924,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=Observations+Marianne+Moore,moore_observations_1924.txt,public_domain,manual_queue,US,Book,lyric_collection,1,medium,Tier-1 merged master queue
tier1_gutenberg_lindsay_1925,Vachel Lindsay,Collected Poems,1925,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=Vachel+Lindsay+Collected+Poems,lindsay_collected_poems_1925.txt,public_domain,manual_queue,US,Collected edition,lyric,1,low,Tier-1 merged master queue
tier1_gutenberg_riding_1926,Laura Riding,The Close Chaplet,1926,project_gutenberg,https://www.gutenberg.org/ebooks/search/?query=Laura+Riding+The+Close+Chaplet,riding_close_chaplet_1926.txt,public_domain,manual_queue,US,Book,lyric_collection,1,low,Tier-1 merged master queue
